date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:45:38	53443/53443	---M-Z	200	added ('OK')	text/html	etag:W/%2268920b40-d0c3%22	https://zuramai.github.io/mazer/demo/index.html	C:/Users/localadmin/Documents/university-queue/public/template/zuramai.github.io/mazer/demo/index.html	(from )
18:45:39	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22693afc34-239b%22	https://zuramai.github.io/robots.txt		(from )
18:45:39	339038/339038	---M-Z	200	added ('OK')	text/css	etag:W/%2268920b40-52c5e%22	https://zuramai.github.io/mazer/demo/assets/compiled/css/app.css	C:/Users/localadmin/Documents/university-queue/public/template/zuramai.github.io/mazer/demo/assets/compiled/css/app.css	(from https://zuramai.github.io/mazer/demo/index.html)
18:45:39	260346/260346	---M-Z	200	added ('OK')	text/css	etag:W/%2268920b40-3f8fa%22	https://zuramai.github.io/mazer/demo/assets/compiled/css/app-dark.css	C:/Users/localadmin/Documents/university-queue/public/template/zuramai.github.io/mazer/demo/assets/compiled/css/app-dark.css	(from https://zuramai.github.io/mazer/demo/index.html)
18:45:39	4924/4924	---M-Z	200	added ('OK')	text/css	etag:W/%2268920b40-133c%22	https://zuramai.github.io/mazer/demo/assets/compiled/css/iconly.css	C:/Users/localadmin/Documents/university-queue/public/template/zuramai.github.io/mazer/demo/assets/compiled/css/iconly.css	(from https://zuramai.github.io/mazer/demo/index.html)
18:45:39	149/149	---M--	200	added ('OK')	application/javascript	etag:%2268920b40-95%22	https://zuramai.github.io/mazer/demo/assets/static/js/initTheme.js	C:/Users/localadmin/Documents/university-queue/public/template/zuramai.github.io/mazer/demo/assets/static/js/initTheme.js	(from https://zuramai.github.io/mazer/demo/index.html)
18:45:40	44133/44133	---M-Z	200	added ('OK')	text/html	etag:W/%2268920b40-ac65%22	https://zuramai.github.io/mazer/demo/component-accordion.html	C:/Users/localadmin/Documents/university-queue/public/template/zuramai.github.io/mazer/demo/component-accordion.html	(from https://zuramai.github.io/mazer/demo/index.html)
18:45:40	45341/45341	---M-Z	200	added ('OK')	text/html	etag:W/%2268920b40-b11d%22	https://zuramai.github.io/mazer/demo/component-alert.html	C:/Users/localadmin/Documents/university-queue/public/template/zuramai.github.io/mazer/demo/component-alert.html	(from https://zuramai.github.io/mazer/demo/index.html)
18:45:41	43477/43477	---M-Z	200	added ('OK')	text/html	etag:W/%2268920b40-a9d5%22	https://zuramai.github.io/mazer/demo/component-badge.html	C:/Users/localadmin/Documents/university-queue/public/template/zuramai.github.io/mazer/demo/component-badge.html	(from https://zuramai.github.io/mazer/demo/index.html)
18:45:41	40069/40069	---M-Z	200	added ('OK')	text/html	etag:W/%2268920b40-9c85%22	https://zuramai.github.io/mazer/demo/component-breadcrumb.html	C:/Users/localadmin/Documents/university-queue/public/template/zuramai.github.io/mazer/demo/component-breadcrumb.html	(from https://zuramai.github.io/mazer/demo/index.html)
18:45:41	49103/49103	---M-Z	200	added ('OK')	text/html	etag:W/%2268920b41-bfcf%22	https://zuramai.github.io/mazer/demo/component-button.html	C:/Users/localadmin/Documents/university-queue/public/template/zuramai.github.io/mazer/demo/component-button.html	(from https://zuramai.github.io/mazer/demo/index.html)
18:45:42	61728/61728	---M-Z	200	added ('OK')	text/html	etag:W/%2268920b41-f120%22	https://zuramai.github.io/mazer/demo/component-card.html	C:/Users/localadmin/Documents/university-queue/public/template/zuramai.github.io/mazer/demo/component-card.html	(from https://zuramai.github.io/mazer/demo/index.html)
